"Run";"EndEquity";"ReturnPct";"MaxDDPct";"ProfitFactor";"Entries"
"run_1";"207,89";"3,95";"-1,09";"3,1";"9"
"run_10";"205,69";"2,85";"-1,1";"2,18";"10"
"run_11";"206,91";"3,46";"-1,7";"2,48";"10"
"run_12";"200,44";"0,22";"-1,47";"1,1";"9"
"run_13";"207,23";"3,61";"-0,95";"3,08";"9"
"run_14";"206,36";"3,18";"-1,09";"2,69";"9"
"run_15";"207,36";"3,68";"-0,77";"3,8";"8"
"run_16";"203,45";"1,73";"-1,1";"1,72";"9"
"run_17";"204,95";"2,48";"-1,23";"1,97";"10"
"run_18";"199,88";"-0,06";"-1,76";"0,98";"9"
"run_19";"208,07";"4,03";"-1,01";"3,51";"10"
"run_2";"205,5";"2,75";"-1,1";"1,96";"12"
"run_20";"208,66";"4,33";"-1,01";"4,28";"9"
"run_21";"208,94";"4,47";"-1,09";"3,47";"10"
"run_22";"207,48";"3,74";"-1,57";"2,81";"9"
"run_23";"199,86";"-0,07";"-1,48";"0,98";"9"
"run_24";"199,02";"-0,49";"-1,69";"0,81";"10"
"run_25";"197,75";"-1,13";"-1,53";"0,51";"9"
"run_26";"207,15";"3,57";"-0,93";"3,1";"9"
"run_27";"204,97";"2,49";"-0,95";"2,51";"8"
"run_28";"195,58";"-2,21";"-2,83";"0,28";"11"
"run_29";"196,63";"-1,69";"-2,8";"0,54";"12"
"run_3";"203,45";"1,73";"-1,1";"1,72";"9"
"run_30";"199,88";"-0,06";"-1,47";"0,98";"9"
"run_31";"207,54";"3,77";"-1,1";"2,99";"9"
"run_32";"207,23";"3,61";"-1,4";"2,64";"9"
"run_33";"206,36";"3,18";"-1,09";"2,69";"9"
"run_34";"206,36";"3,18";"-1,09";"2,69";"9"
"run_35";"207,37";"3,69";"-1,01";"3,25";"9"
"run_36";"207,23";"3,61";"-0,95";"3,08";"9"
"run_37";"207,72";"3,86";"-0,94";"3,71";"8"
"run_38";"204,71";"2,36";"-1,65";"1,83";"11"
"run_39";"205,53";"2,76";"-1,78";"1,92";"11"
"run_4";"207,15";"3,57";"-0,93";"3,1";"9"
"run_40";"204,79";"2,4";"-1,04";"2,38";"9"
"run_41";"204,03";"2,01";"-1,78";"1,68";"11"
"run_42";"204,24";"2,12";"-0,95";"2,06";"9"
"run_43";"207,07";"3,54";"-0,95";"3,03";"9"
"run_44";"207,3";"3,65";"-1,21";"2,82";"9"
"run_45";"203,61";"1,81";"-1,39";"1,85";"10"
"run_46";"204,66";"2,33";"-1,39";"2,09";"10"
"run_47";"205,22";"2,61";"-1,27";"2,21";"10"
"run_48";"201,42";"0,71";"-2,45";"1,2";"12"
"run_49";"203,74";"1,87";"-1,76";"1,75";"10"
"run_5";"204,8";"2,4";"-1,7";"1,92";"11"
"run_50";"202,15";"1,07";"-2,21";"1,3";"10"
"run_6";"204,24";"2,12";"-0,95";"2,06";"9"
"run_7";"204,8";"2,4";"-1,7";"1,92";"11"
"run_8";"198,37";"-0,81";"-2,09";"0,72";"11"
"run_9";"206,49";"3,24";"-0,95";"2,6";"10"
