"Run";"EndEquity";"ReturnPct";"MaxDDPct";"ProfitFactor";"Entries"
"is_run_1";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_10";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_11";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_12";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_13";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_14";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_15";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_16";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_17";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_18";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_19";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_2";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_20";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_21";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_22";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_23";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_24";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_25";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_26";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_27";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_28";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_29";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_3";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_30";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_31";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_32";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_33";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_34";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_35";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_36";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_37";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_38";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_39";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_4";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_40";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_41";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_42";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_43";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_44";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_45";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_46";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_47";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_48";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_49";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_5";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_50";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_6";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_7";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_8";"207,48";"3,74";"-1,1";"4,42";"6"
"is_run_9";"207,48";"3,74";"-1,1";"4,42";"6"
