"Run";"EndEquity";"ReturnPct";"MaxDDPct";"ProfitFactor";"Entries"
"oos_run_1";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_10";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_11";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_12";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_13";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_14";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_15";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_16";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_17";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_18";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_19";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_2";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_20";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_21";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_22";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_23";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_24";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_25";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_26";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_27";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_28";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_29";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_3";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_30";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_31";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_32";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_33";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_34";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_35";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_36";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_37";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_38";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_39";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_4";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_40";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_41";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_42";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_43";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_44";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_45";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_46";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_47";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_48";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_49";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_5";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_50";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_6";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_7";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_8";"201,02";"0,51";"-0,46";"2,12";"2"
"oos_run_9";"201,02";"0,51";"-0,46";"2,12";"2"
