"Run";"EndEquity";"ReturnPct";"MaxDDPct";"ProfitFactor";"Entries"
"wf1_test_1";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_10";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_11";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_12";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_13";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_14";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_15";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_16";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_17";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_18";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_19";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_2";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_20";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_3";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_4";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_5";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_6";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_7";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_8";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_test_9";"199,51";"-0,25";"-0,25";"0";"1"
"wf1_train_1";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_10";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_11";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_12";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_13";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_14";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_15";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_16";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_17";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_18";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_19";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_2";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_20";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_3";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_4";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_5";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_6";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_7";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_8";"201,97";"0,99";"-0,54";"2,83";"3"
"wf1_train_9";"201,97";"0,99";"-0,54";"2,83";"3"
"wf2_train_1";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_10";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_11";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_12";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_13";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_14";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_15";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_16";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_17";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_18";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_19";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_2";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_20";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_3";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_4";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_5";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_6";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_7";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_8";"196,92";"-1,54";"-1,54";"0";"4"
"wf2_train_9";"196,92";"-1,54";"-1,54";"0";"4"
"wf3_train_1";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_10";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_11";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_12";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_13";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_14";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_15";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_16";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_17";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_18";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_19";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_2";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_20";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_3";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_4";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_5";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_6";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_7";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_8";"204,35";"2,18";"-1,1";"3,02";"4"
"wf3_train_9";"204,35";"2,18";"-1,1";"3,02";"4"
